32   0.0        0.0         0
33 ! 0.0        0.00377287 20
34 " 0.01075268 0.01377097  16
35 # 0.02150537 0.0290511   40
36 $ 0.03225806  0.0390492   36
37 % 0.04301075  0.0524429   50
38 & 0.05376344    0.0622524   45
39 ' 0.06451612  0.0658366   7
40 ( 0.07526881  0.0797963   24
41 ) 0.08602150  0.0905489   24
42 * 0.09677419  0.10017   18
43 + 0.10752688  0.113563      32
44 , 0.11827956  0.1196   7
45 - 0.12903225  0.135823   36
46 . 0.13978494  0.141105   7
47 / 0.15053763  0.156197   30
48 0 0.16129032  0.167704   34
49 1 0.17204301  0.177136   27
50 2 0.18279569  0.189964   38
51 3 0.19354838    0.199585   32
52 4 0.20430107   0.212601    44
53 5 0.21505376   0.221845    36
54 6 0.22580645   0.232975    38
55 7 0.23655913   0.245425    47
56 8 0.24731182    0.253348    32
57 9 0.25806451   0.263724    30
58 : 0.26881720   0.270138    7
59 ; 0.27956989   0.281079    8
60 < 0.29032258   0.296171    31
61 = 0.30107526   0.3073     33
62 > 0.31182795   0.317676    31
63 ? 0.32258064   0.329183    35
64 @ 0.33333333   0.342766     50
65 A 0.34408602   0.349934    31
66 B 0.35483870   0.361819    37
67 C 0.36559139   0.37276    38
68 D 0.37634408   0.38521    47
69 E 0.38709677    0.394454    39
70 F 0.39784946   0.405207    39
71 G 0.40860215   0.416337    41
72 H 0.41935483   0.426901    40
73 I 0.43010752       0.432937    15
74 J 0.44086021  0.448217    39
75 K 0.45161290   0.458215    35
76 L 0.46236559   0.468402    32
77 M 0.47311827   0.483494    55
78 N 0.48387096   0.49236   45
79 O 0.49462365   0.501792    38
80 P 0.50537634   0.512168    36
81 Q 0.51612903   0.52292     36
82 R 0.52688172   0.534616    41
83 S 0.53763440   0.544237    35
84 T 0.54838709   0.555367    37
85 U 0.55913978   0.565554     34
86 V 0.56989247   0.576118    33
87 W 0.58064516   0.5897    48
88 X 0.59139784   0.598755     39
89 Y 0.60215053   0.610074    42
90 Z 0.61290322   0.620638    41
91 [ 0.62365591   0.626108    13
92 \ 0.63440860   0.640068    30
93 ] 0.64516129   0.647802    14
94 ^ 0.65591397   0.662328    34
95 _ 0.66666666   0.675156    45
96 ` 0.67741935   0.68006    14
97 a 0.68817204   0.69402    31
98 b 0.69892473   0.705905    37
99 c 0.70967741   0.716846    38
100 d 0.72043010  0.729296    47
101 e 0.73118279  0.73854    39
102 f 0.74193548  0.749293    39
103 g 0.75268817  0.760423    41
104 h 0.76344086  0.770987    40
105 i 0.77419354  0.777023     15
106 j 0.78494623  0.792303    39
107 k 0.79569892  0.802301    35
108 l 0.80645161  0.812488    32
109 m 0.81720430  0.82758    55
110 n 0.82795698  0.836446    45
111 o 0.83870967   0.845878    38
112 p 0.84946236   0.856254    36
113 q 0.86021505  0.867006    36
114 r 0.87096774  0.878702    41
115 s 0.88172043  0.888323    35
116 t 0.89247311  0.899453    37
117 u 0.90322580   0.90964    34
118 v 0.91397849   0.920204    33
119 w 0.92473118  0.933786    48
120 x 0.93548387  0.942841    39
121 y 0.94623655  0.95416    42
122 z 0.95698924  0.964724    41
123 { 0.96774193  0.970949    17
124 | 0.97849462  0.97849462    0
125 } 0.97849462  0.981702    17
126 ~ 0.98924731  0.99585    35
